,0.1,0.5,0
FedMR,47.95314991950989,65.50284989356994,72.08069999694824
FedKDMR,41.58694995880127,61.5664999294281,68.37624998092652
FedCodl,42.88154994487763,58.65325004577637,65.43725008010864
FedAvg,35.87329995155334,56.42795009613037,64.24370016098023
FedProx,36.355299983024594,56.20095006942749,63.816849880218506
