,0.1,0.5,0
FedMR,36.74794991016388,46.83969995975495,52.208099927902225
FedKDMR,33.17385000705719,44.244400110244754,48.40750001907349
FedCodl,33.09014984607697,41.18694998264313,45.03924999237061
FedAvg,30.035150051116943,38.93669998645783,43.41125010490418
FedProx,29.815050024986267,38.92899996757507,43.61129999999997
