,0.1,0.5,0
FedMR,77.36970016479492,86.84194980621338,89.82874984741211
FedKDMR,76.06449999809266,87.08540002822876,89.38379993438721
FedCodl,75.76490034103394,87.03359949111939,88.73665004730225
FedAvg,70.57975009918214,85.88855014801025,88.5741501235962
FedProx,71.22389989852906,85.86215002059936,88.42349998474121
